包名,可疑评论占比(T1=0.4),可疑评论占比(T1=0.6),可疑评论占比(T1=0.8),评论用户占可疑用户比例(T1=0.4),评论用户占可疑用户比例(T1=0.6),评论用户占可疑用户比例(T1=0.8)
com.ezinterweb.weseewe,0.0728744939271255,0.05263157894736842,0.044534412955465584,0.0003771256171146462,0.0003369556060988965,0.000315059861373661
com.gavinbrown.blindscape_hh,0.06500541711809317,0.011917659804983749,0.010834236186348862,0.0014742183214481624,0.0003369556060988965,0.000315059861373661
com.headupgames.bridgeconstructormedieval,0.04308202154101077,0.03396851698425849,0.028169014084507043,0.0005485463521667581,0.0003369556060988965,0.000315059861373661
com.kanke.video,0.040229885057471264,0.040229885057471264,0.040229885057471264,0.00023998902907295666,0.0002948361553365344,0.000315059861373661
com.runtastic.android.heartrate.pro,0.019548872180451128,0.006015037593984963,0.0040100250626566416,0.0009599561162918266,0.0003790750568612585,0.000315059861373661
com.ketchapp.skyward,0.04264705882352941,0.025,0.016176470588235296,0.0005485463521667581,0.0003790750568612585,0.00027005130974885227
com.redrobot.globaloutbreak,0.023542600896860985,0.005605381165919282,0.005044843049327354,0.0010285244103126715,0.0002948361553365344,0.00027005130974885227
com.veewo.supercat,0.015412511332728921,0.007252946509519492,0.007252946509519492,0.00044569391113549094,0.00025271670457417233,0.00027005130974885227
com.yksj.healthtalk.ui,0.17543859649122806,0.10526315789473684,0.10526315789473684,0.0003428414701042238,0.00025271670457417233,0.00027005130974885227
lqs.kaisi.ddp,0.00995260663507109,0.0033175355450236967,0.0033175355450236967,0.0005485463521667581,0.00025271670457417233,0.00027005130974885227
air.GirlesEscape,0.034055727554179564,0.011609907120743035,0.00696594427244582,0.0006856829402084476,0.0002948361553365344,0.00022504275812404356
air.com.may.game.Papa_Ice_Cream_Shop,0.04183006535947712,0.0196078431372549,0.0196078431372549,0.0005828304991771805,0.0002105972538118103,0.00022504275812404356
com.Beltheva.Alpaka2,0.058333333333333334,0.019444444444444445,0.016666666666666666,0.0005828304991771805,0.00025271670457417233,0.00022504275812404356
com.androidemu.gbapmblue,0.23519458544839256,0.23519458544839256,0.23181049069373943,0.00020570488206253428,0.00025271670457417233,0.00022504275812404356
com.appris.monsters,0.01480019733596448,0.00740009866798224,0.005426739023186976,0.0006171146461876029,0.0002948361553365344,0.00022504275812404356
com.bog.callofmodernwar,0.05042016806722689,0.02100840336134454,0.02100840336134454,0.0005142622051563357,0.0002105972538118103,0.00022504275812404356
com.com2us.kingdomtactics.normal.freefull.google.global.android.common,0.11546184738955824,0.07730923694779117,0.07530120481927711,0.0010628085573230939,0.00025271670457417233,0.00022504275812404356
com.fungames.animalescape,0.037333333333333336,0.02666666666666667,0.018666666666666668,0.00030855732309380144,0.00025271670457417233,0.00022504275812404356
com.huofar,0.03155339805825243,0.01699029126213592,0.014563106796116505,0.00030855732309380144,0.00025271670457417233,0.00022504275812404356
com.idtinc.tk,0.05283757338551859,0.019569471624266144,0.019569471624266144,0.0005142622051563357,0.0002105972538118103,0.00022504275812404356
com.jsdev.instasize,0.011058451816745656,0.011058451816745656,0.009478672985781991,0.00020570488206253428,0.00025271670457417233,0.00022504275812404356
com.mama100.android.member,0.20134228187919462,0.10067114093959731,0.10067114093959731,0.00027427317608337906,0.0002105972538118103,0.00022504275812404356
com.mobirix.onepunch,0.017195767195767195,0.007936507936507936,0.006613756613756613,0.0003428414701042238,0.00025271670457417233,0.00022504275812404356
com.oxothuk.worldpuzzlefull,0.07963246554364471,0.007656967840735069,0.007656967840735069,0.0008228195282501371,0.0002105972538118103,0.00022504275812404356
com.playdead.limbo.full,0.023148148148148147,0.023148148148148147,0.016203703703703703,0.00020570488206253428,0.00025271670457417233,0.00022504275812404356
com.swiftapps.dogsimulator2015,0.027045769764216365,0.015256588072122053,0.013176144244105409,0.0006513987931980252,0.00025271670457417233,0.00022504275812404356
com.thinkyeah.smartlockfree,0.011597938144329897,0.005154639175257732,0.005154639175257732,0.0003771256171146462,0.0002105972538118103,0.00022504275812404356
eu.dreamup.speedracingultimatefree,0.13145539906103287,0.11267605633802817,0.11032863849765258,0.0004799780581459133,0.00025271670457417233,0.00022504275812404356
air.com.nitrome.Gunbrick,0.03643724696356275,0.020242914979757085,0.016194331983805668,0.00027427317608337906,0.0002105972538118103,0.00018003420649923484
com.GoldenRubyGames.WormRun,0.16756756756756758,0.08108108108108109,0.04864864864864865,0.0006171146461876029,0.00025271670457417233,0.00018003420649923484
com.chillingo.rockrunners.android.rowgplay,0.060790273556231005,0.02127659574468085,0.02127659574468085,0.0004799780581459133,0.00016847780304944825,0.00018003420649923484
com.distdevs.deadrunner,0.022900763358778626,0.015267175572519083,0.015267175572519083,0.00020570488206253428,0.00016847780304944825,0.00018003420649923484
com.dns.umpay,0.015440508628519528,0.0036330608537693005,0.0036330608537693005,0.00041140976412506856,0.00016847780304944825,0.00018003420649923484
com.edwardkim.android.screenshotitfull,0.008361204013377926,0.0033444816053511705,0.002787068004459309,0.00044569391113549094,0.0002105972538118103,0.00018003420649923484
com.escape.ikuseialice,0.021897810218978103,0.009124087591240875,0.0072992700729927005,0.0003428414701042238,0.0002105972538118103,0.00018003420649923484
com.gameloft.android.ANMP.GloftTRHM,0.32747804265997493,0.3186951066499373,0.3124215809284818,0.00044569391113549094,0.0002948361553365344,0.00018003420649923484
com.glutenfreegames.elephantsimulator,0.045584045584045586,0.014245014245014245,0.011396011396011397,0.0003771256171146462,0.0002105972538118103,0.00018003420649923484
com.kookong.app,0.013592233009708738,0.009708737864077669,0.007766990291262136,0.00023998902907295666,0.0002105972538118103,0.00018003420649923484
com.ninetyninegames.dhoomthree,0.12169312169312169,0.06349206349206349,0.042328042328042326,0.00044569391113549094,0.0002105972538118103,0.00018003420649923484
com.northpark.pushups,0.039647577092511016,0.01762114537444934,0.01762114537444934,0.00030855732309380144,0.00016847780304944825,0.00018003420649923484
com.qo.android.am3,0.008171603677221655,0.0040858018386108275,0.0040858018386108275,0.00023998902907295666,0.00016847780304944825,0.00018003420649923484
com.tov.google.MechsVsAliens,0.2640449438202247,0.2303370786516854,0.2303370786516854,0.0003428414701042238,0.00016847780304944825,0.00018003420649923484
